IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
232204002003,1343.2966159999999,1718.7971223333334,125.0,163.2,10.0,21.0
232204017061,451.25810533333333,2305.8451346666666,87.0,143.1,2.0,12.0
232205062003,648.9717135000001,1622.7091926666665,78.0,160.4,1.0,12.0
232205065005,1101.4534766666668,1815.678408,115.0,173.4,4.0,15.0
232205070005,1005.1053246666667,2086.289188,102.2,163.2,4.0,15.0
232205080003,1606.2253623333334,1855.648765,115.0,160.4,5.0,16.0
232301003003,935.4550791666667,1524.50496725,,167.0,4.0,15.0
232301005003,1135.2685291666667,2870.5931556111113,92.0,167.0,3.0,14.0
232302013003,1564.8269443333336,3036.2908886666664,152.1,184.0,12.0,23.0
232302015003,2216.574540333333,1732.41753,132.2,163.0,8.0,19.0
232302141001,2577.0041666666666,2452.2143749999996,159.2,172.0,12.0,23.0
232302143002,982.9188333333333,2180.310622333334,150.0,158.8,13.0,24.0
232303081001,1719.3204999999998,3346.992192423884,178.8,170.0,18.0,29.0
232304005003,1645.357103,2888.2540013333332,153.4,173.0,13.0,24.0
232304020003,1584.15049,2625.1768503333333,,170.0,18.0,29.0
232401006003,1630.7495063333333,2406.946248142857,118.0,170.0,5.0,16.0
232401008003,1657.94250025,2898.8573943333336,108.0,170.0,5.0,16.0
232401009003,1538.545291,3087.511170333333,115.0,165.0,7.0,18.0
232401010002,1989.6577054040401,2782.0921089999997,112.5,174.0,6.0,17.0
232402008003,2708.089110820643,2077.6547706666665,158.0,171.0,11.0,22.0
232402008004,1761.4751879999997,1393.576538,120.0,160.0,8.0,19.0
232402011005,2659.317619,1789.4646543333336,172.0,170.0,18.0,29.0
232402016003,2666.979833777778,2740.8815966666666,165.0,165.0,16.0,27.0
232404001003,1543.2701430000002,1763.7458286666667,120.5,176.9,7.0,18.0
232404004004,1189.2138996666665,1940.8866084285717,99.9,175.0,3.0,14.0
232404005003,1175.8960983333332,1598.0692283333335,98.5,172.0,3.0,14.0
232404014005,1805.4591196666668,2856.5400769999997,126.0,176.5,7.0,18.0
232404015004,2942.116806,2312.600559666667,168.0,164.7,17.0,28.0
232404020003,1391.8386134999998,1354.077406,131.0,158.6,9.0,20.0
232404141001,1948.795,2105.244141333333,168.0,170.0,19.0,30.0
321102003003,2804.797938888889,1569.704242222222,171.3,172.1,19.0,31.0
321102009003,2055.2738271666667,1801.1996931111107,157.0,158.7,17.0,28.0
321102017041,1105.5762433333334,1530.0252900000003,112.0,164.6,4.0,15.0
321102081003,716.418,1330.9678707930934,86.2,154.0,2.0,13.0
321104002003,1664.6833254444446,880.6361420634921,154.0,155.1,16.0,27.0
321104004005,2626.806904444444,1808.8466402380955,157.4,181.3,13.0,24.0
321104008003,2580.963348333333,3443.9163714285714,148.5,165.7,14.0,25.0
321104009061,995.3162657777779,2414.9313656114878,92.2,159.1,2.0,13.0
321104014061,1423.783647333333,1734.8801285820891,,156.2,2.0,13.0
321104015004,2071.1797942222224,1672.958330277778,157.5,162.9,13.0,24.0
321104015061,1106.2796111111113,2511.0616458302807,,150.6,1.0,12.0
321104017021,2001.7732086666667,883.6602953333335,129.5,159.2,9.0,20.0
321104019005,1661.5007807777777,2602.8040964126985,154.5,157.6,13.0,24.0
321105008003,2535.7304240000003,1870.015088452381,143.7,178.2,9.0,20.0
321105012005,2021.18331125,1505.121196037625,142.1,163.1,11.0,22.0
321105016003,2566.2164285555555,2230.3358202923973,155.0,174.1,14.0,25.0
321105018006,1247.7804495,1512.73986,102.0,157.9,4.0,15.0
321107001005,749.6533333333333,2042.3476758888885,92.4,157.4,3.0,14.0
321206004004,1367.3258996666666,2515.845514,115.0,153.1,5.0,16.0
321208003003,2463.480407333333,2110.035813666667,168.0,186.5,12.0,23.0
321208007003,1807.933364166667,3102.6940138095238,172.0,177.0,18.0,29.0
321208008004,2853.64943625,1474.6572542857145,177.0,180.0,18.0,29.0
321208009006,1259.384213,1581.2888069651744,140.0,168.0,9.0,20.0
321208013003,2099.1632377777773,1453.5998296666664,163.0,165.0,15.0,26.0
321208014007,1198.8423444444445,778.4384506666667,,155.0,3.0,14.0
321208018005,2189.1860429999997,2960.8702106666665,157.0,171.0,12.0,23.0
321208019007,1559.051632,1542.0856833333335,125.0,160.0,7.0,18.0
322103002004,2056.7006583333336,2324.9288630000005,143.0,170.0,13.0,24.0
